Marine Scotland Site ID,Date Registered,Site Name,National Grid Reference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,Water Type,Health Surveillance,Easting,Northing,MS Management Area,Region,Operator,Species
FS0390,01-Nov-87,Carness Bay,HY469139,Orkney,Yes,Crowness Point,Hatston,"Kirkwall, Orkney",KW15 1GP,,Fish,Seawater,Low,346900,1013900,8b - Central Orkney,Orkney,Cooke Aquaculture Scotland Ltd,"Lumpsucker, Atlantic Salmon, N/A"
FS0100,01-Jan-93,Carse of Ae Trout Farm,NY023863,Dumfries and Galloway,Yes,Parkgate,,,DG1 3NE,,Fish,Freshwater,Medium,302300,586300,Not in a management area,Dumfries & Galloway,Brow Well Fisheries Ltd,"Brook charr/ trout, N/A, Brown Trout and sea trout, Rainbow Trout, Tiger trout"
FS0285,01-Sep-91,Cassillis Mill,NS363143,South Ayrshire,Yes,Cassillis Mill,Dalrymple,,KA6 6BD,,Fish,Freshwater,Medium,236300,614300,Not in a management area,Strathclyde,River Doon Trout Co Ltd,"Brown Trout and sea trout, N/A, Rainbow Trout"
FS0561,10-Aug-91,Ceann Dibig,NG155971,Western Isles,No,N/A,,,,,Fish,Seawater,,115500,897100,,Western Isles,Bakkafrost Scotland,"N/A, Atlantic Salmon"
FS0993,21-Mar-00,Chalmers Hope,HY287013,Orkney,Yes,Lyness,Hoy,Orkney,KW16 3NT,,Fish,Seawater,High,328700,1001300,8c - Scapa Flow,Orkney,Cooke Aquaculture Scotland Ltd,"N/A, Lumpsucker, Atlantic Salmon"
FS0398,01-Dec-89,Clachan Hatchery,NF822433,Western Isles,Yes,Clachan Hatchery,"Loch Carnan, South Uist",Western Isles,HS8 5PD,,Fish,Freshwater,Low,82200,843300,Not in a management area,Western Isles,Hebridean Smolts Ltd,"N/A, Atlantic Salmon"
FS0892,01-Jan-97,Clachbreac,NR769759,Argyll and Bute,Yes,Clachbreac,"Ormsary, Lochgilphead",Argyll,PA31 8NZ,,Fish,Freshwater,Medium,176900,675900,Not in a management area,Strathclyde,Landcatch Natural Selection Ltd,"Atlantic Salmon, Rainbow Trout, N/A"
FS0933,30-Oct-97,Clashnessie Bay,NC083336,Highland,Yes,Badcall Salmon House,"Scourie, Lairg",Sutherland,IV27 4TH,,Fish,Seawater,Low,208300,933600,"9c - Badcall, Chairn Bhain, Eddrachillis",Highland,Loch Duart Ltd,"Lumpsucker, Wrasse, N/A, Atlantic Salmon"
FS1095,17-Aug-06,Cliff Site,HP601115,Shetland,Yes,c/o Quoys Hatchery,"Haroldswick, Unst",,ZE2 9DW,,Fish,Freshwater,Low,460100,1211500,Not in a management area,Shetland,Cooke Aquaculture Scotland Ltd,"Atlantic Salmon, N/A"
SS0803,23-Oct-08,Clifts Ronas Voe,HU315809,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,431500,1180900,4b - Ronas Voe,Shetland,Blueshell Mussels Ltd,"N/A, Common mussel"
SS0684,29-Apr-03,Clitasay,NB134335,Western Isles,Yes,West Earshader,Bernera,,HS2 9LP,,Shellfish,Seawater,Medium,113400,933500,6a - Loch Roag,Western Isles,Loch Fyne Oysters Ltd,"N/A, Common mussel"
